Business_name,positive,negative,factual,opinion,summary1,summary2,summary3
Arctic Avenue,68.82457386,31.17542614,57.0510878,42.9489122,- this little ice cream shop is in what was the store building for a gas station,"- they have tons of different ice cream products, the usual soft-serve, hot fudge sundaes, and banana splits","- they also have their version of a DQ Blizzard, it's called a ""Freeze Out"""
51 Wings and Things,68.65982288,31.34017712,62.9258995,37.0741005,- 51 Wings is one of the few places in the south hills with very good wings,- the wings are never soggy and always crispy which makes for a great wing,- the fries were warm but starting to go limp.
Applewood Smoke Burger,68.63589159,31.36410841,59.49189463,40.50810537,- I've been to HSBC twice and got the applewood burger both times,- the fries are pretty decent but not nearly as good as the burger and the menu are a little on the pricey side,- I've had the applewood burger twice and the applewood burger both times.
Anna's Animals,68.60839599,31.39160401,62.97932331,37.02067669,- Anna has been helping us with Bucky since spring of 2010,"- she is reliable, and always able to help out in a pinch","- when Bucky was sick, she took care of him and even cleaned up after him."
Alihan's Mediterranean Cuisine,68.56254724,31.43745276,58.07558579,41.92441421,- I'm waiting for the day one takes the victory,"- I love well-made pita bread, but hey that's okay",- Turkish bread is cool with me
Artisan Pizza Company,68.40796859,31.59203141,55.41798202,44.58201798,- reviewer says the pizza tasted like sweetened tomato paste and overwhelmed all the pizzas,- the pizzas are easy to bake and 100 times better than anything you can get from a pizza delivery place,"- the ""signature"" pies are all excellent and the price is good too."
Allegheny City Market,68.39912281,31.60087719,56.4254386,43.5745614,"- after relocating from Brooklyn and being spoiled with quality local markets for so many years, I thought the dream was over",- but then I found this place and the dream is alive,- I'm so happy to have the Allegheny City market just a few blocks from work.
1905 Eatery,68.38244048,31.61755952,64.25,35.75,- the Eatery is a remodeled early 1900s building with period correct decor,- the food is very fresh and portion to price ratio is very good,"- the wait staff is nice, and the chef stopped by to see how our food was."
5801 Video Lounge and Café,68.32067486,31.67932514,58.71096166,41.28903834,- 5801 is my favorite gay bar in Pittsburgh,- 5801 has some of the most DELICIOUS and CHEAP bar food in the city,"- 5801 has eight types of dips/chips to share, wraps, salads, pizza and wings."
Allegheny Center Alliance Church,68.14144045,31.85855955,57.07333754,42.92666246,"- reviewer: ""I have never been to a better church in my entire life"" ""rock is the best","- I haven't found another church with such a great motivational speaker"" ""I love the socioeconomic and racial diversity""",
Atami Japan,68.12833995,31.87166005,61.71772487,38.28227513,"- reviews: best sushi rolls I've ever had! Service was good, food was not",- Everything had an odd flavor and tasted the same I could not recommend this place,- decor very nice
Ashcroft & Oak Jewelers,68.07340543,31.92659457,68.49462366,31.50537634,"- Yvonne and her crew made my fiancé and I feel like we were family, and they cared about our needs",- I dropped my ring off to be cleaned and shined and met a very delightful young salesgirl named Cassie,- I would steal her in a New York minute if I was your competitor...she is definitely an asset to your company.
Advanced Vision Care,68.02272727,31.97727273,59.18326118,40.81673882,- the wait to see the doctor (after seeing the clinician) was almost 20 minutes,"- when I went to have the optician adjust my eyeglasses, she did a very poor job, making them crooked and too wide instead of tightening them.",
3D Nails Spa,67.99134199,32.00865801,61.30826118,38.69173882,"- reviews: best nail salon in the area, best pedicure, and best pedicure",- owners are polite and consumer centric,"- they have a good range of polishes, gels and SNS"
Amel's Restaurant,67.98822188,32.01177812,61.32978723,38.67021277,- Camels is a great Mediterranean restaurant,- the atmosphere inside the restaurant area is very fitting for the type of food they are serving,- the staff is very nice and the food is so good
A-Peeling Skin and Beauty,67.91791551,32.08208449,53.65939205,46.34060795,- highly recommend A-peeling skin and beauty for your bridal needs,- Monica is extremely knowledgeable about skin care and is very kind and professional,- she also recently got married too so it was easy to relate to her.
Armature Tattoo Co.,67.86080586,32.13919414,62.7026862,37.2973138,"- ""I can't recommend Kate and Armature enough,"" says CNN's Nina dos Santos","- ""if you like strong tattoos from someone that understands traditional American tattooing he is your guy"" ""armature is my go-to artist, I recommend her every time without question""",
All Star Sports Bar & Grill,67.76014109,32.23985891,65.32704744,34.67295256,- if you're looking for a place to watch the game or just grab a bite to eat try it out,"- foodwise, the wings are excellent as are the sandwiches, wraps and burgers","- no matter where you looked you could see a screen, so there wasn't a bad seat in the house."
"Au ""Grottens"" Cafe & Catering",67.45373775,32.54626225,51.65686275,48.34313725,"- the pot roast hash was the tastiest, most interesting, different breakfast I've had since I can't remember when",- the atmosphere was also very warm & inviting with an interesting owner/chef,- the chalk board has specials and a BYOB sign.
Apis Meadery & Winery,67.41969697,32.58030303,56.53717949,43.46282051,- the house mead is my favorite but the blueberry chai and passion fruit were also good,"- if you're not familiar with mead, try the flight to figure out what you like best","- if you're not familiar with mead, try the cranberry clove mead."
Al's Fish & Chicken,67.40816327,32.59183673,56.37981859,43.62018141,"- I'm a huge fan, of the crispy fried shrimp and fries","- I ended up getting the steak salad, and it turned out pretty good",- the only downfall was that they didn't have any thousand island or french dressing.
Applelicious,67.34482143,32.65517857,61.31015873,38.68984127,"- Appallicious makes wonderful products and the owner is so upbeat, happy and fun","- ""the apples are a wonderful gift anytime of year","- Every time I gift one, the recipient grins like a smile child"""
Allegheny 6 Pack & Doghouse,67.30797101,32.69202899,63.04589372,36.95410628,- this little watering hole is my favorite little watering hole in this part of town,"- there's no smoking, so if you want a six-pack you can be sure it won't taste of cigarettes","- on Friday, Saturday and Sunday they have BBQ out front."
Any Given Sundae,67.22539314,32.77460686,54.76798286,45.23201714,- any given sundae is our go-to ice cream spot in Oxford,"- since Busters closed on Brandt school, we decided to try this place",- the chocolate ice cream where they chop up a brownie was one of the best.
Alex's Corner Pizza Shop,67.20879121,32.79120879,63.75198413,36.24801587,"- reviews: the steak hoagie was great, as was the meatball hoagie with no sauce",- the pizza however is pretty bad,- Maybe it was an off day? Will try once more
Affordable Care Veterinary Clinic,67.20254011,32.79745989,63.06595365,36.93404635,- summarize the following reviews into 3 distinct bullet points that are grammatically correct and provide clear context,"- ""every time I go I am beyond happy with my experience,"" says owner","- ""wrong treatment, told me they couldn't do anything for my cat, took her to another Vet"""
"At the Wall Pilates, Inc",67.05265975,32.94734025,57.58634481,42.41365519,"- at the wall Pilates is a beautiful studio with positive, professional and encouraging instructors",- all the instructors have been fantastic and seem to really care about me and my fitness goals,- I've been a client for 5 years and still look forward to every session.
Asian Cuisine,67.03726708,32.96273292,50.99689441,49.00310559,- reviewer says he's had the pen ang curry tofu and the pad Thai,"- ""online ordering is nice, but so is calling in,"" he says","- ""for take-out, it's quick"
Allegheny Physical Medicine PC,66.95089286,33.04910714,49.5,50.5,- Dr,- Jarred ever and his staff are top-notch from top to bottom,- the massage therapist is very good
Assemble,66.89918155,33.10081845,65.09300595,34.90699405,- assemble is a cool community space for arts and technology in the heart of Garfield,- their programs include free weekly after school help with homework on Tuesdays,- they also offer a weekly 2-hour technology/craft program for kids in 6th through 9th grade.
Allegheny Smokeworks,66.84951375,33.15048625,56.16610776,43.83389224,- Allegheny Smoke works is one of my top 3 favorite cigar stores in the city,"- the cigar lounge is comfortable, roomy, VERY reasonably priced, and all around perfect","- all you have to do is ask, and the staff will help you find the perfect smoke for you or a friend."
A Party Place Rentals,66.69298246,33.30701754,55.07894737,44.92105263,- the following reviews are grammatically correct and provide clear context,"- the customer service was outstanding, and that's what you want as a bride",- I would highly recommend A Party Place Rentals to anyone looking for a stress-free situation.
Athens,66.67798111,33.32201889,57.45521314,42.54478686,- the gyro is so big that you can make 2 out of 1 or just get the sandwich and no fries,"- the hummus and pita is excellent, but I don't know if it was ""homemade""",
Auto Addictions,66.66666667,33.33333333,61.54166667,38.45833333,- reviews: unprofessional sloppy work,- Install was not checked for accuracy and cost was miss quoted,- '03 Audi all road and they did a great job tinting all the windows
Asado Mobile Kitchen Truck,66.66665243,33.33334757,60.8528898,39.1471102,- Gaucho Carrillo Argentina's food truck was at a Wiggle event,"- the food was finished quickly, which is important for a food truck",- Amado is one of the most popular food trucks in the city.
Arancini House,66.63839787,33.36160213,56.37429854,43.62570146,- the Francine is delicious - we never go without ordering an all burro,- the service is great and everyone who works there is so friendly,- the Francine is delicious - we never go without ordering an all burro.
Altius,66.59246032,33.40753968,58.10299423,41.89700577,"- reviewer: ""I honestly hadn't heard of this place until I went on open table looking to make anniversary reservations"" ""the goose duck, which was truly outstanding",- I ate all of it,"- and I rarely eat meat"" ""the view was amazing and probably worth going just for a drink"""
Arcade Bakery & Cafe,66.55257937,33.44742063,57.08994709,42.91005291,- the downtown Macy's (formerly Kaufmann's) has been a fixture in my life for as long as my 35-year-old brain can remember,- the Arcade Bakery is virtually a historic landmark to its devotees,"- the prices are low, considering the fine quality and taste."
A&A Mailing Services Plus,66.4915293,33.5084707,49.90842491,50.09157509,- reviews: super convenient and away more pleasant than the east liberty post office,- a & an is a great little mailing shop that is conveniently located in Shady side,- the owner is usually there and is helpful.
Alla Famiglia,66.45940528,33.54059472,57.23775854,42.76224146,- if you're looking for a memorable spot with some of the most delicious actually Italian dishes then look no further than Alley Familiar,- for entrée my girlfriend had their AHI Tuna Steak (special) prepared perfectly and with a great lemon butter sauce.,
Amazing Books & Records,66.45030992,33.54969008,56.66115702,43.33884298,- amazing books is true to its name,- go visit--there's always parking within a block of the store,"- in a moderately sized space, packed with books from floor to ceiling, you can find a long wall of fiction"
Allure,66.37456361,33.62543639,55.66929665,44.33070335,- grammatically correct reviews provide clear context,- allure is the best boutique in Pittsburgh,- I've stopped in a few times and though it's not my style I have made purchases for other people.
61B Cafe,66.32458897,33.67541103,65.95390071,34.04609929,- 61B is a new coffee shop in Regent Square,- it's a great coffee shop but not the love and respect of a customer to put it together,- it's a good place to take kids if other people's kids don't bother you.
Affordable Decks & Additions,66.28896104,33.71103896,51.33982684,48.66017316,- this past summer affordable decks built an incredible deck and roof off the back of my home,- the project looks as is if it was a part of our home when it was first built - they matched colors and even stone materials around some of the piers that support the roof.,
Allegheny Commons Park,66.28357753,33.71642247,55.07936508,44.92063492,- the park is a great place to bring the family for a nice summer day outing,- there is a small farmer's market that sets up on certain Friday afternoons,- the duck pond is a great place to feed the ducks and geese.
A & M Nail Spa,66.2523927,33.7476073,58.76294192,41.23705808,"- reviewer had a gel manicure, and it began to chip within three days","- the salon was very clean, and the workers were extremely nice","- I had a gel fill with pink sparkly polish, and it turned out well."
Ardolino's Pizza,66.16720164,33.83279836,54.24963925,45.75036075,- review: pizza was some of the best I've had in ages,- delivery was on time and didn't take too long,"- pepperoni rolls are mediocre to good, but perhaps it is just my personal taste."
Adesso Cafe,66.03219697,33.96780303,57.14452214,42.85547786,"- reviews: delicious coffee, gluten-free pastry options, and lunch food coming soon",- interior is quite small,- it only takes about 4 people for it to start feeling crowded
Active Chiropractic and Rehabilitation,65.9958134,34.0041866,49.11310473,50.88689527,"- if you are scared or even skeptical about seeing a chiropractor, call Dr",- Tom Antoni,- he has helped me immensely with digestive issues when no other doctor could
Anytime Tan Tanning Club,65.94382768,34.05617232,55.52611367,44.47388633,"- reviewer was impressed with their specials, services and prices","- they have multiple bed, UVA and UVB, teeth whitening services and a manicurist on site",- I am not into tanning by any stretch of the imagination.
Annes Nails and Spa,65.84027778,34.15972222,57.15686275,42.84313725,"- reviews: ""this little mom & pop shop has not been updated lately"" ""my biggest complaint is that it's cash only,"" says one reviewer","- ""we came here based on the yelp reviews, and they did not disappoint""",
"Aunt Penny's Pet Sitting, LLC",65.82779431,34.17220569,69.06261023,30.93738977,"- if you're looking for a quality pet sitter, keep looking","- don't be deluded by the company's ""affiliation"" with the NADP","- the NADP is as bogus as a $3 bill and does nothing to monitor or discipline its ""members"""
A Place To Grow Learning Center,65.752114,34.247886,57.15269397,42.84730603,- reviewer's son has attended APT since he was a newborn,- teachers and staff are very warm and welcoming,- the center is kept clean and safe for the children
412 Plumbing,65.70289855,34.29710145,52.01863354,47.98136646,- grammatically correct and provide clear context,- 412 Plumbing provided fantastic service at a very reasonable price,- Mandy apologized for the overcharge and is sending me a check for $9.40
All-Star Athletics & Gymnastics,65.51629743,34.48370257,47.61828368,52.38171632,"- reviewer's daughter has always loved to tumble, climb, and jump, but her autism meant finding a gym to explore and learn was extremely difficult","- she attended their week-long day camp last summer, and will go again this year.",
AVA Cafe + Lounge,65.37372313,34.62627687,60.40205311,39.59794689,- CNN's Nina dos Santos visits Ava café and lounge three times,"- Santos recommends the turkey band mi, mezzedilla, and turkey press",- Santos recommends the golden oat shake and free Wi-Fi.
Allegheny Sandwich Shoppe,65.36816109,34.63183891,51.24569402,48.75430598,- the blue cheeseburger and chili cheese fries were at least a 1/2lb patty on a large buttery toasty bun sided with chips and pickle,"- all in all this place is legit, and I will be returning soon + Allegheny Sandwich Shoppe is my got lunch spot when I have a weekday off work.",
Aiello's Pizzeria,65.3596708,34.6403292,57.55227111,42.44772889,- I was pleasantly surprised with the atmosphere and the food at hello's pizzeria,- I'm longing for another pizza as I write this review,- I'm looking forward to our next visit which will be very soon.
Arriba,65.34457672,34.65542328,59.97089947,40.02910053,- the wait staff is very knowledgeable and friendly,"- service was excellent, and the ambiance is artsy and cozy","- they also had a large birthday party of 60 going on downstairs, but were still able to attend to us upstairs without an issue."
232 Creative,65.27272727,34.72727273,59.71969697,40.28030303,- 232 Creative has exceeded all of our expectations as an owner of a small family business,"- they are reliable, flexible, creative and affordable",- 232 Creative is now one of our most valuable partners as we continue to grow Grist house craft brewery.
Allied Remediation & Mold Services,65.26001082,34.73998918,54.81051587,45.18948413,- Allied was the best priced service and removed all the mold issues we had with surprising speed,"- I was quoted $600 for labor at the onset of the project and when they finished, they demanded $1800 for labor","- I was threatened with lawsuits, and they tried to file a lien on my property."
Alphonso and Son,65.2,34.8,57.6,42.4,- reviewer was able to give a great referral to PST landscaping,"- workers did a very good job, but the final bill was over $200 more than what was quoted","- ""I had them rebuild a retaining wall and landscape my yard."
Atria's Restaurant & Tavern,65.19281046,34.80718954,56.13557902,43.86442098,"- if you're in the Pittsburgh area and looking for a meal, it would be a crime to miss Atria's","- if you know how to order here, you're going to have a good experience",- the food is always well-prepared and the service has been excellent.
Aspinwall Grille,65.09609788,34.90390212,64.87795414,35.12204586,- the spinal has a nice neighborhood bar feel to it,"- the chicken wings were cooked nice and crispy, seasoning was right on",- there was even a small mishap with what I considered a great dish.
Arlecchino Ristorante,64.99000186,35.00999814,60.33110119,39.66889881,- the veal chop is one of the best veal chops we've ever had in the city,- the veal chop was perfectly done and tasted scrumptious,- the veal shank looked like something from the Flintstones.
All In Good Taste Productions,64.91163004,35.08836996,56.1790293,43.8209707,- cnn.com's report boot camp challenges you to rate a caterer in the Philadelphia area,- the company refused to do a tasting before we signed a contract,- they were barely responsive-taking 10 days to reply to emails and then rude on the phone.
Aurochs Brewing,64.89382083,35.10617917,53.26839453,46.73160547,- aurochs is a brewery that makes all of its beer from quinoa and millet,"- all the beers tasted pretty good, and I was not able to tell that a single one of them were gluten-free",- the staff was great and really took the time to talk to us about their brewing process.
Aestique Plastic Surgical Associates,64.875,35.125,48.74216524,51.25783476,- summarize the following reviews into 3 distinct bullet points that are grammatically correct and provide clear context,- I think Tara is wonderful,- she made my facial so relaxing and even included hot stones and eyebrow waxing.
Andys Auto Repair Bridgeville,64.87253273,35.12746727,51.93626314,48.06373686,- reviewer was in need of a local auto service to fix a scrape on her car,"- a week later, he got me in right away and had my car finished in the quoted amount of time","- ""any time it comes to automobiles, prices, and work completed, I always get a little nervous"""
Allstate Insurance: Blair Bogdan,64.83985261,35.16014739,53.5430839,46.4569161,"- reviewer: ""if you want to talk to a person and not a cubical this is the place for you"" ""I've been with this agent for years and for good reason","- they've given me good advice for years and years""",
Allegheny Ice Cream,64.83124459,35.16875541,53.28163059,46.71836941,- Allegheny Ice Cream is a cute little ice cream place near the zoo,"- the hot fudge tasted nothing like hot fudge I've ever had before, it was almost bitter","- the blizzard was actually good, but the medium is basically the size of a small."
424 Walnut,64.80654428,35.19345572,61.42722641,38.57277359,"- I was skeptical coming to some little hole in the wall places, but sometimes those little hole in the wall places are some of the best","- I was skeptical coming to some little hole in the wall places, but sometimes those little hole in the wall places are some of the best.",
Arsenal Strength - Crossfit 1812,64.77956744,35.22043256,61.30155955,38.69844045,"- I've never CrossFit in my life, and I am very glad I chose arsenal as my 'box' not only do you get to rock their swag, but they have such a huge cult following and everyone is a motivator regardless of the level you are.",,
All About You Pet Care,64.73196779,35.26803221,50.84173669,49.15826331,"- all about you pet care is attentive, loving, reliable and professional",- she made home visits for a week and a half to care for our somewhat timid cat,"- ""I was referred to this service by a friend and Julie certainly exceeded my expectations"""
Apple Store Shadyside,64.68551587,35.31448413,55.84325397,44.15674603,- this is my go-to Apple Store in the city,"- it's centrally located in the bustling heart of Shady side, and it's Apple what more can I say but GREAT! + Awesome service","- Friendly, knowledgeable staff"
ASCEND Pittsburgh,64.59253247,35.40746753,55.37204024,44.62795976,"- I've climbed at gyms all over the country, and so far this is my new favorite one","- there is an amazing training area with free weights (squat rack! , hang out areas, locker rooms with showers, and a yoga studio",- I can't wait to go back again!
Aladdin's Eatery,64.57611341,35.42388659,59.65472911,40.34527089,- grammatically correct and provide clear context for these 3 reviews,"- if you are looking for fresh, yummy, and healthy food, look no further","- hummus, falafel, fatuous salad, and flavor savor plate are some of our favorites."
Animal Elegance,64.43760889,35.56239111,54.66027875,45.33972125,- I recently adopted an overweight Respond named Drachma,"- she seemed to enjoy the company of other animals, due to the owner working with her",- i wholeheartedly trust Animal Elegance to take proper care of my little furry friends.
Apple Cookie & Chocolate Company,64.40429688,35.59570313,49.0625,50.9375,- CNN's report boot camp asked readers to rate apple cookie company's cookies,- apple has a great selection of cookies,- the chocolate chip cookie is the best thing I have ever tasted.
Amazing Journeys,64.2964436,35.7035564,53.2157688,46.7842312,- the level of detail they put into every trip is insurmountable to any other travel company,- I have just completed my 5th trip with Amazing Journeys and getting ready for the 6th one to Australia/New Zealand in 2016,- I have met some fantastic new friends from all over!!
American Tattoo,64.29140383,35.70859617,50.94217687,49.05782313,- reviews: grammatically correct and provide clear context,- octopus tattoo cost me $250 and people paid $500+ for something less detailed and half the size,- I got my Tagus pierced several weeks ago; the service and price was great.
Arthur Murray Dance Studio,64.26456349,35.73543651,50.12063492,49.87936508,"- single adults, particularly single men, take lessons at Arthur Murray South Hills","- instructors are patient, let us learn at our own pace and are constructive in their coaching","- there are many useful social dances such as hustle, foxy and wedding line dances."
Arnold's Tea,64.23422308,35.76577692,58.44805092,41.55194908,- Arnold's Tea is a great place to have a late lunch on the north side,- there is street parking along with a parking lot on a diagonal behind it,- there is a parking lot on a diagonal behind it.
61C Cafe,64.09375,35.90625,61.77120536,38.22879464,"- the crowd seems a little hipster-like, but not really pretentious or engaging in ridiculous discussions",- hand tamped espresso (my usual choice) is the best I've tried in the city,"- if you want good coffee, this is the place."
Anchor and Anvil Coffee Bar,64.03595526,35.96404474,56.79419192,43.20580808,- I am a self admitted coffee snob,- I do not like Starbucks,"- Anchor has proper espresso machines, and they seem to know how to use them! I am going to have to run there to burn off the extra doughnut calories!"
All Foreign Auto Parts,64.0320262,35.9679738,55.70840682,44.29159318,- I was scammed by some scumbag tow truck drivers after a horrific car crash,- I found exactly what I needed,- Shipped quickly and was packed very well so as not to break
Alter Ego Body Art Studio,64.00606921,35.99393079,55.79511566,44.20488434,"- I've always had excellent experiences at Alter Ego, including the shop's previous identity Z-Spot","- after the first session it looked like it was going to be amazing, after the second session it looked less than stellar","- I've known them for over 12 years, & they have done just about all of my tats & piercings."
Artistic Styles,63.88501082,36.11498918,55.80770107,44.19229893,"- ""I had been growing my hair for some time, and it was almost to my elbows!"" ""I got great service and a great cut!"" ""Sometimes hair stylists are good enough that you want to follow them to wherever they are working""",,
99 Bottles,63.80496454,36.19503546,55.84397163,44.15602837,- the best part of the place for me was actual the customer service from Nick,- the food was very good even though it took 45 minutes to get a salad and sandwich,- ok'd pizza hurt turned into a bar and 6 pack shop.
Alfredo's Salon of Hair Design,63.78499671,36.21500329,62.40118577,37.59881423,- reviews are grammatically correct and provide clear context,"- shop could really use a remodel, reviewer says","- the salon itself felt cramped and not as clean as possible, reviewer says"
Allegheny City Brewing,63.78023337,36.21976663,54.5574297,45.4425703,- the most important part of this review can be summed up on 2 words-DOG,- FRIENDLY,- Allegheny City Brewing offers flights so you can taste more than 1 before making your decision
AJ Bambino Pizzeria,63.66486711,36.33513289,53.36101883,46.63898117,- reviewer says he will never order from AJ Bambino again,- he says delivery drivers will steal from you by adding extra tips,- he says the best deal is probably a large pizza and breadsticks for $14.99.
Arsenal Cider House & Wine Cellar,63.63334125,36.36665875,49.77003484,50.22996516,- reviews: a great place to get out of the summer heat on the first day of autumn,- a great selection of brews on tap for a glass or a growler,"- great ciders with great explanations, tastings, opinions, and wonderful service."
Alder Street Barber,63.58928571,36.41071429,54.64285714,45.35714286,"- reviewer gave me a crappy haircut, and he did the same thing to my friend",- he gave me a classic hipster haircut - super short on the back and super long on top,"- if you don't want an undercut, you should consider looking elsewhere."
Apsara Cafe,63.5866411,36.4133589,50.85168916,49.14831084,- Moran chia around is an original stir-fry of vegetables in a lemongrass sauce,"- the noodle was perfect, with the short spongy rice noodles standing out","- I got my pad thai at a 9, and it was almost too hot for me to handle."
Amazing Cafe,63.58033407,36.41966593,56.40834445,43.59165555,- reviews: solid vegetarian food made with fresh ingredients and a friendly smile,- the peace pizza was also quite leafy and felt pretty comfortable to eat,- the açai bowl was not particularly easy to eat by hand.
"AAAL-Allegheny Attorneys at Law, PC",63.55525031,36.44474969,41.7969068,58.2030932,- reviewer was charged with underage drinking as well as paraphernalia,"- ""I owe Marc my freedom and appreciate everything he, as well as BAAL, did to help me"" ""I would highly recommend Marc to anyone in need of help due to his wealth of experience""",
Above All Grand Salon & Spa,63.52034632,36.47965368,54.81330336,45.18669664,- reviewer received a gel manicure and after only 2 days 5 nails peeled right off,"- ""I'm extremely disappointed as I paid more for these than other salons charge"" ""the professionals who did each of my services were amazing, and I already have an appointment to return""",
Acoustic Moose Cafe,63.51415094,36.48584906,62.55540581,37.44459419,- acoustic Moose is trying to bring art and culture to the dry borough of Bellevue,- most of the acts are acoustic and make decent enough background music,"- the food is okay, as is the coffee, and the music line-up is so-so."
