company_name,positive,negative,factual,opinion,summary1,summary2,summary3,stars
51 Wings and Things,68.65982288,31.34017712,62.9258995,37.0741005, 51 Wings is one of the few places in the south hills with very good wings, the wings are never soggy and always crispy which makes for a great wing, the fries were warm but starting to go limp.,4
52nd Street Market,71.25355114,28.74644886,59.4047619,40.5952381, the market is located 3 blocks from my house," everyone who works here is so nice, and they have a wonderful assortment of local and organic goods", Deirdre let us stay after closing to eat inside the market.,3
5801 Video Lounge and Caf?68.32067486,31.67932514,58.71096166,41.28903834, 5801 is my favorite gay bar in Pittsburgh, 5801 has some of the most DELICIOUS and CHEAP bar food in the city," 5801 has eight types of dips/chips to share, wraps, salads, pizza and wings.",4,
5ive Lounge,58.49612193,41.50387807,58.62734488,41.37265512, a group of about 10 people went for happy hour on a Tuesday, it took over an hour and a half to get 5 appetizers, 5ive has a fantastic outdoor seating area.,3
5th Avenue Detailing & Car Wash,62.81188725,37.18811275,45.06862745,54.93137255, Totally impressed with the $99 full auto detailing done, the most impressive part was the service, I left a complaint in their phone messaging system hoping to be called back for completion of the job but didn't get a call back yet.,4.5
61B Cafe,66.32458897,33.67541103,65.95390071,34.04609929, 61B is a new coffee shop in Regent Square, it's a great coffee shop but not the love and respect of a customer to put it together, it's a good place to take kids if other people's kids don't bother you.,3.5
61C Cafe,64.09375,35.90625,61.77120536,38.22879464," the crowd seems a little hipsterlike, but not really pretentious or engaging in ridiculous discussions", hand tamped espresso (my usual choice) is the best I've tried in the city," if you want good coffee, this is the place.",4
7-Eleven,59.96446078,40.03553922,40.10784314,59.89215686," the store itself was finehad things I needed but this if this were a review for 7 Elevens overallthey really, really, REALLY, suck", 7Eleven standard fare made a 4star affair by being clean and having friendly staff.,,4
"720 Music, Clothing and Cafe",58.20730013,41.79269987,58.95255816,41.04744184," 720 has had many iterations over the years, but it seems they've finally  pardon the pun  found their groove"," if hip hop, soul, R&B or local music is what you're after, stop here, and you'll likely find it (lots of 12? too)",,5
8 Bit Evolution,59.35298295,40.64701705,60.99932597,39.00067403," I purchased the GBA shell on April 13, 2015", I waited about a week and then started to check my mailbox 2 times a day, on the 24th I decided to call the number on the site and no response at all.,4
941 Saloon,57.78038194,42.21961806,58.24950397,41.75049603," the 941 is a great bar with awesome bartenders, and it's set up is pretty sweet too", bartender is clearly a part of the community but totally unfriendly to the LGBTQ agenda, bartender made fun of every jukebox selection to other employees.,2.5
96.1 Kiss Fm WKST,70.33766234,29.66233766,47.48917749,52.51082251," I love kiss 96.1 the morning show is awesome, great music, great talk and these guys must have been friends for a long time to be as good together as they are", I don't listen to their morning show, for ten minutes solid it's Boomshakalakaboomboomshakalaka...heeeeeyyyy...hooooooooo....booomshakalaka.,5
A & M Family Tires,56.25617589,43.74382411,50.49407115,49.50592885, grammatically correct and provide clear context, a & m is a great place to get a new tire, a & m is a great place to get a new tire.,3.5
A & M Nail Spa,66.2523927,33.7476073,58.76294192,41.23705808,"  had a gel manicure, and it began to chip within three days"," the salon was very clean, and the workers were extremely nice"," I had a gel fill with pink sparkly polish, and it turned out well.",5
A 1 Garage Door,62.3655303,37.6344697,40.47474747,59.52525253, reviews grammatically correct and provide clear context, Stan arrived at our house a few hours after our initial call," gave us a quote, fixed the spring, checked the opener and greased the tracks, rollers and spring.",4.5
A Party Place Rentals,66.69298246,33.30701754,55.07894737,44.92105263, the following reviews are grammatically correct and provide clear context," the customer service was outstanding, and that's what you want as a bride", I would highly recommend A Party Place Rentals to anyone looking for a stressfree situation.,4
A Peace of Eden Salon and Spa,60.96799797,39.03200203,49.25402461,50.74597539,  has been going to a peace of Eden hair salon for 1.5 years, she has not been dissatisfied with her cut and color," the interior is modern, spacious, clean, and a more relaxed feel.",3.5
A Peace of Eden Spa,57.15533146,42.84466854,45.19418386,54.80581614, peace of Eden spa is a mustvisit for anyone seeking a relaxing spa experience, the spa is a mustvisit for anyone seeking a relaxing spa experience, the spa is a mustvisit for anyone seeking a relaxing spa experience.,2.5
A Pittsburgh Plumber LLC,56.14935065,43.85064935,41.02741703,58.97258297, grammatically correct reviews provide clear context," I couldn't be happier with the quality of his work, or his prices never showed up to assess gas pipes and never called to at least reschedule",,4
A Place To Grow Learning Center,65.752114,34.247886,57.15269397,42.84730603, 's son has attended APT since he was a newborn, teachers and staff are very warm and welcoming, the center is kept clean and safe for the children,5
A&A Mailing Services Plus,66.4915293,33.5084707,49.90842491,50.09157509, reviews super convenient and away more pleasant than the east liberty post office, a & an is a great little mailing shop that is conveniently located in Shady side, the owner is usually there and is helpful.,4
A.R Building,50.59328753,49.40671247,43.17036646,56.82963354," reviews bad management, snow plowing, trash all over the property and overflowing trash compactor", two friends paid for monthly parking in this lot and still got towed, office seems to have forgotten what posted business hours mean.,3
AA Locksmith,61.29386608,38.70613392,51.31573803,48.68426197, yelp reviews are grammatically correct and provide clear context, within 30 minutes they showed up with a smile and took care of the problem in no time, I love these guys,3.5
AAA Scrap Metals,61.46825397,38.53174603,51.89880952,48.10119048," AAA scrap treats ppl like they are family, they unload everything themselves plus pay a very nice price"," AAA scrap treats ppl like they are family, they unload everything themselves plus pay a very nice price.",,3.5
AAA,58.53581547,41.46418453,54.7376201,45.2623799," notary services could have been a good value add, but once again these shysters mucked it up"," I just called about notary services for members, and they have the nerve to charge $5 per stamp! My bank did it for free.",,3.5
"AAAL-Allegheny Attorneys at Law, PC",63.55525031,36.44474969,41.7969068,58.2030932,  was charged with underage drinking as well as paraphernalia," I owe Marc my freedom and appreciate everything he, as well as BAAL, did to help me I would highly recommend Marc to anyone in need of help due to his wealth of experience",,2.5
AAMCO Transmissions & Total Car Care,54.47839631,45.52160369,42.21970449,57.78029551, reviews the best mechanic I have had experiences with in my adult life, Brian calls you once the car is opened up and then diagnoses the problem, after fixing the car he actually brings out the old part and explains everything they did to fix the car.,4.5
ACE Hotel Pittsburgh,61.95657189,38.04342811,55.8780931,44.1219069, the Ace Hotel is located on S Whitfield St in the former YMCA building, the hotel has retained the original black and red tiles in the ballroom as well as in the elevator," the bartender was attentive, and the drinks were on point.",3.5
AD's PCafe,59.06306137,40.93693863,42.29871602,57.70128398, a new sign says half off appetizers from 812 at Sennett," I wasn't really feeling any of those greasy ones tonight, says one "," I like to eat my food without the side sauces first, says another .",2.5
"ADT Security Services, Inc.",43.14885567,56.85114433,51.30915467,48.69084533,  ADT is terrible, I would not get this service ever, robbers ripped the battery off the wall and threw it across the room,3
AEY Nail Bar,59.36915069,40.63084931,45.88837353,54.11162647, I'm giving this place 5 stars for quality of service and overall potential, overall good experience but she lacks technical skill, overall good experience but she lacks technical skill,3
AGH Suburban,42.76081124,57.23918876,52.50781626,47.49218374, check your bills and don't be surprised if you get a bill for an upcharge in a year, don't patronize Dr, Jan Se ski medical director of this health network,3.5
AJ's Burger & Peruvian Chicken,55.35387356,44.64612644,59.26989677,40.73010323," if you want sweet potato fries go to Fuel & Fuddle or UPMC Manticore 7th Caf?"" chicken was okay not the best I've had"," and the fries were a nice freshcut surprise""", the fries were like beach fries with sea salt but a little greasy.,4.5
AJ's Burger & Peruvian Rotisserie Chicken,52.8064843,47.1935157,63.19402229,36.80597771, a quarter chicken combo was enough for one person," service was decent, but it didn't have ceviche (my favorite Peruvian dish) the food was great, but the delivery service was HORRIBLE.",,4
AJ's Inca Peruvian Restaurant,52.12294666,47.87705334,58.43563123,41.56436877, AJ's is such a cute little place in the heart of downtown, food was interestingly spiced and very moist and crispy, chicken was great,2
ALDI,57.0058215,42.9941785,49.81239515,50.18760485, Aldi and bottom dollar are like longlost siblings, both are discount grocery stores where you bring your own bags and bag your own groceries, at Aldi you need a quarter to get a shopping cart that is returned once you return the cart.,5
AMC South Hills Village 10,58.84161086,41.15838914,52.63764881,47.36235119," the theater was dirty, the bathrooms a mess, and there was way too much ambient light in the small theater", the women's room smells slightly like urine, the south hills galleria is recently remodeled with extremely nice and spacious seating.,5
AMF Mt. Lebanon Lanes,61.68625277,38.31374723,51.28233555,48.71766445, the bowling alley is kind of old and dated and does not appear to be the cleanest," the TV screens showing football games, basketball games, etc", are old,5
AMF Noble Manor Lanes,58.5003125,41.4996875,49.69,50.31, the bowling alley is one of my favorite bowling lanes in town," the prices for bowling are ridiculous, especially for children", the food at the bowling alley is a little bit overpriced.,4.5
ASCEND Pittsburgh,64.59253247,35.40746753,55.37204024,44.62795976," I've climbed at gyms all over the country, and so far this is my new favorite one"," there is an amazing training area with free weights (squat rack! , hang out areas, locker rooms with showers, and a yoga studio", I can't wait to go back again!,2.5
AT&T,60.75712121,39.24287879,52.33414141,47.66585859, reviews a newly remodeled store with all the latest gadgets, a 4K TV that sucks you into a DTV experience, employees had no idea what they're doing,3.5
AVA Bar & Lounge,55.88849206,44.11150794,51.25202047,48.74797953, first Thursday of every month 530?00  Global Pittsburgh First Thursdays at AVA Lounge, Open to public, come and see for yourself,4.5
AVA Cafe + Lounge,65.37372313,34.62627687,60.40205311,39.59794689, CNN's Nina dos Santos visits Ava caf?and lounge three times," Santos recommends the turkey band mi, mezzedilla, and turkey press", Santos recommends the golden oat shake and free WiFi.,5
Abay Ethiopian Cuisine,60.73470238,39.26529762,55.00079365,44.99920635, the vegetarian fare we had was full of flavor and lacked the heavy grease/oil that's often found at other Ethiopian restaurants," the interior is intimate but not tiny, and you can sit at normal tables or small wicker tables", the waitress was very attentive and pleasant as we ate.,3
Able Laundromaxx,39.11931818,60.88068182,57.5,42.5," the laundromat is always dirty, garbage on the floor or puddles of dirty water under the machines", there is never paper or pens in the little mailbox so you can write notes to warn others about things out of order, the dryer did not work and ate all of my quarters.,5
Abruzzi's,59.62059283,40.37940717,51.08605099,48.91394901, Abruzzo's has moved into the Day's Inn I believe, the owner gave us free dessert," the second time I went, sadly disappointed by the main dish",2
Absolute Ballroom & Dance Center,62.02886905,37.97113095,53.02261905,46.97738095," Absolute ballroom isn't the snooty, stuffy dance studio Nurse Matched retired to after her job at the hospital"," the studio offers a wide variety of dances including ballroom, salsa, Tango, and west coast swinging", the main dance floor is somewhat narrow but has a really nice surface for dancing.,4
Absolute Safeguard,49.34100877,50.65899123,43.52005013,56.47994987, Safeguard performs a very superficial inspection that in no way will jeopardize the sale, here's a short list of things they missed on my house 1, Carpenter bee infestation,5
Acacia,59.07376882,40.92623118,58.64936915,41.35063085," the bartender at Acacia was polite, professional and courteous"," despite the small number of people at the bar, it took more than 10 minutes before the bartender came to the table"," despite the small number of people in the place, the bartender never introduced herself.",5
Accents In Ink,60.30092278,39.69907722,58.23654244,41.76345756, accents in ink is one of the best tattoo studios in the U.S., for tats and recoloring an old one, accents in ink is one of the best tattoo studios in the U.S.,1
Ace Appliance Repair,53.86471861,46.13528139,36.63284632,63.36715368, reviews very unprofessional and did not get the job done if your home warranty company gives you their info to repair an appliance ask for another repair company they took a part from the dishwasher to be rebuilt but (I assume) lost it in the process,,,5
Ace Lock,59.85741971,40.14258029,57.33111849,42.66888151," reviews excellent business, professional courteous and extremely knowledgeable people", don't go to Home Depot for key copies which won't even work, get them here,5
Ace's Breakaway and Play,56.89415709,43.10584291,43.72605364,56.27394636," if you enjoy pinball or arcade games, you should definitely stop in on your lunch break or after work"," if you work downtown, and you enjoy pinball or arcade games, you should definitely stop in on your lunch break or after work.",,4.5
Achieve A-Nu-Yu,60.11873329,39.88126671,51.43003565,48.56996435, super paranoid worker outer hates to work out and doesn't want anyone to watch," I've been training with Ernie for the past four weeks, and it's the best workouts if you're looking for a huge corporate gym with all the bells and whistles his won't be the place for you",,2.5
Acorn Pittsburgh,59.69064222,40.30935778,56.75705923,43.24294077," acorn is on the higher end for Pittsburgh, maybe about average for New York or Seattle", the food is on par for what you might expect at a good big city restaurant, the real problem is the noise,3
Acoustic Music Works,57.50857534,42.49142466,56.94465488,43.05534512," reviews beautiful shop, great instruments, but horrible customer service I really want to love this shop, but there owner is such a jerk most of the time I wish them luck and hope they change their tune (pun intended)",,,4.5
Acqua Blu Medical Spa,52.78057751,47.21942249,49.07577326,50.92422674, reviewers say this place is the best dermatology and medical spa in Pittsburgh, a lot of skin care lines are hardtofind in a city where it seems everyone feels qualified to open a medical spa," if you are considering plastic surgery, they also have a plastic surgery division.",3.5
Acri Community Realty,59.77140725,40.22859275,43.56290174,56.43709826,"  all questions and concerns were addressed in a timely and complete manner I'm hoping pairing her up with the two new guys (TJ and Eric) on our board, she should soar! I have had ACRI as property manager where I live for about the past 3 years",,,2.5
Adams & Associates,55.21590909,44.78409091,47.08892496,52.91107504, don't use this accountant if you own a business or just work in general, he will promise unlimited telephone communication, end of year taxes will always be wrong,4
Adda Coffee & Tea House,62.57908951,37.42091049,63.60339506,36.39660494,"  says coffee shop is pretentious, but without the baristas who is a judge and glare at you regardless of what you do like in some other places"," instead the baristas are consistently friendly and down to earth, and the coffee is wonderful (especially the cappuccinos  they have real cappuccinos with correct proportions)",,4.5
Addicted Salon Spa & Tanning,61.51548998,38.48451002,54.41088193,45.58911807, addicted salon and subsequently Bridgett's stylists are legit awesome," if you have ever had a bad experience in a salon or have just felt like the salon wasn't a 'good fit' for you, please check out addicted.",,1
Admiral Heating & Cooling,59.05907916,40.94092084,36.44338736,63.55661264, admiral was able to identify the problem just from my phone conversation," great service, speedy response, reasonable price", yelp review the guy on the phone could just care less about the information yelp we have them come once in the spring for AC checkup and once in the fall for Furnace,4.5
Adolfo's Restaurant,58.25841178,41.74158822,52.83780277,47.16219723, the food is ok not bad but not great and the price is very high, the veal scalloping which was average and nothing super special," the lunch menu consisted of your typical appetizers, salads, soup, regular pasta dishes.",2.5
Adrenaline Barre Fitness,52.75653542,47.24346458,49.69263053,50.30736947," the class was mostly bad yoga with fast transitions, some weird ballet moves with a dumbbell that were done clumsily and barely instructed"," the class was mostly bad yoga with fast transitions, some weird ballet moves with a dumbbell that were done clumsily and barely instructed.",,3.5
Adrian's Pizza,60.42214912,39.57785088,48.32811195,51.67188805, the taste of the pizza wasn't too bad as it had a decent amount of good tasting cheese," the sauce was a bit spicy, another few a bit sweet but most of the time it was just there"," the wings are ok, the mild wings don't have much flavor.",3.5
AdultMart,62.25421063,37.74578937,47.38132816,52.61867184," Adult mart is a lot bigger with a larger selection of novelties walking in you are always greeted with a smile, hello, and is there anything I can help you find they check ID's every time I have gone in",,,3.5
Advance Auto Parts,60.07796717,39.92203283,54.07070707,45.92929293, I stopped at this location because of a driver's side wiper blade that was not making contact, I love these guys how hard is it to find an auto parts store smack in the middle of the city, they replaced my windshield wipers for 1015$ cheaper than pep boys would.,3.5
Advanced Dental Solutions of Pittsburgh,62.91666667,37.08333333,60.72222222,39.27777778,  was afraid to go to the dentist due to bad experiences in childhood, he went in a good six months after having broken a molar, he was able to save his tooth and stop my pain.,3.5
Aegis Realty Partners,49.0135992,50.9864008,45.63900914,54.36099086,"  this is literally the worst company I've ever dealt with they are awful at communication, they stay in breach of the lease, and they are noncompliant they will completely abandon you once it comes time for you to get something",,,3.5
Aerie,60.91742901,39.08257099,56.26381742,43.73618258,"  from the viewpoint of a gay male, this store does nothing for me from the standpoint of a gay male, this store does nothing for me...if you know what I mean it's just a smaller version of an American Eagle store, except more organized",,,3.5
Aesthetic Skin & Laser Center,53.85759122,46.14240878,46.10358689,53.89641311, CNN's Nina dos Santos went for a laser hair removal procedure, she got blisters every single session because they are not good in technology, dos Santos this place is total bullshit,3
Afamia Mediterranean Grille,60.43767601,39.56232399,54.65962622,45.34037378," baba famous is roasted eggplant blended with Tahini, garlic, and lemon"," baba famous is roasted eggplant blended with Tahini, garlic, and lemon", baba famous is roasted eggplant blended with a garlic sauce.,3
Affordable Fence & Railing,60.13668085,39.86331915,52.82691446,47.17308554,  had a black chain link fence installed in the dead of winter, the installer showed up and installed on the day we had scheduled in advance, he told me that it was a waste of my money and that he could leave.,3
Agnes R  Katz Plaza,63.03194777,36.96805223,58.31725146,41.68274854, cnn.com's report boot camp challenges reporters to write a review of their favorite places in the city, ireport.com do you have a favorite place in the city? Share it with CNN report.,,2.5
Aiello's Pizza,62.7306836,37.2693164,50.1910299,49.8089701," there are more pizza joints in the 'burgh than anywhere in the nation with 1,000+", no delivery, No parking,3
Air Canada,56.64804293,43.35195707,58.05560065,41.94439935, I'm going to give 5 stars for great customer service over the phone," I've flown a lot over the past few years and every time I fly on a turboprop, I half expect to see the ground crew start the propellers manually"," if you are flying between Pittsburgh and Toronto, you almost have to fly on Air Canada Jazz.",4.5
Aires,46.77251984,53.22748016,46.71210317,53.28789683," Airs is a full service relocation company that handles corporate relocation, expense management, home finding, mortgage, closings from beginning to end", if you're moving it's easier to just call a moving company yourself and handle the details yourself, if you're moving it's easier to just call a moving company yourself and handle the details yourself.,1
Airy Pines Boarding Kennel,59.86433459,40.13566541,53.63395565,46.36604435," I picked up my dog on a Sunday, and her eyes were heavily and severely crusted with mucus and gook", the owner lied and said it was one day of gook," unless we get a refund, we will meet in small claims court.",3.5
Aji Picante,59.44943521,40.55056479,58.47266028,41.52733972, AJI picante is a good balance between intimate and casual, the restaurant is BYOB with no corkage fee," the menu includes 6 different creches, numerous small plate appetizers and sides.",4
Al Nail Salon,41.85712525,58.14287475,52.7399737,47.2600263, I've been to terrible places with no customer service and terrible customer interaction, I've been to terrible places with no customer service and terrible customer interaction, I've been to terrible places with no customer service and terrible customer interaction.,4.5
Al's HVAC Services,61.9080705,38.0919295,52.55675119,47.44324881,"  if you're not using Al then you're paying too much for less quality work  I hope our experience was an anomaly, but buyer beware  if you're not using Al then you're paying too much for less quality work",,,5
Al's Motor Works & Auto Body,60.55642,39.44358,47.53965531,52.46034469, 's father has been going to Al's for a while, flange connecting exhaust to muffler rusted all the way through, 's dad highly recommends for Al is honest and master mechanic.,4
Aladdin's Eatery,64.57611341,35.42388659,59.65472911,40.34527089, grammatically correct and provide clear context for these 3 reviews," if you are looking for fresh, yummy, and healthy food, look no further"," hummus, falafel, fatuous salad, and flavor savor plate are some of our favorites.",3.5
Alamo Rent A Car,54.85359548,45.14640452,51.72318422,48.27681578, reviews are grammatically correct and provide clear context," I expected a clean car that ran well and was dependable  I got a Dodge dart with 9,000 miles"," I expected no hard pressure sales gimmicks about prepaid gas or coveragethese were mentioned during the registration process, but we're not pushed.",1
Alan Kells School of Real Estate,61.75416667,38.24583333,48.49166667,51.50833333," this is the only Real Estate school I tried, so It's hard to gauge their level of luckiness", the instructor was excellent and had a strong teaching background, the weekend courses are definitely worth your time and $$.,3.5
Alan's Pet Shops,55.23859186,44.76140814,48.49791046,51.50208954," a pet store in the squirrel hill area sells fish, birds, rodents and reptiles", the owner is friendly and knows his stuff fairly well, the negatives were DO NOT TOUCH THE GLASS or point closely at any fish.,3.5
Albert Anthony Real Estate,56.48801632,43.51198368,45.91848846,54.08151154, what a REAL family company this is! says Kate Davisflynn," they posted pictures of a BEAUTIFUL house, says Davisflynn"," they posted pictures of a BEAUTIFUL house, says Davisflynn.",4.5
Albert's Tire & Service Center,55.2582846,44.7417154,41.25243665,58.74756335, reviews Albert's Tire was possibly the best example of customer service in years, most places in the area are closed Saturday and Sunday for repairs, reviews they're the best example of customer service that I've experienced in years,4.5
Alberta Modern Hair,55.69673556,44.30326444,51.47002997,48.52997003," I went to Alberta for about 2 and a half years, and the only reason I stopped was because I moved out of town"," at $85 for a cut and color, I can't find anything close to what I got at Alberta for that price"," as a blonde, my color can be tricky to get exactly right.",2.5
Alberto & Pasquale,59.56736301,40.43263699,56.6309239,43.3690761, reviews the service at Alberto & Pasquale's is absolutely incredible," I needed two suits and a shirt tailored, and it was done a day ahead of schedule...INCREDIBLE I couldn't be happier with the tailoring", everything fits perfectly!,4.5
Alberts Gifts,56.44235009,43.55764991,48.30540858,51.69459142, the craziest find for me was the my cat purrs black and gold magnet, there are tons of dog products and cats are usually left out," overall, a great store to visit if you aren't sure what to get your favorite sports fan.",4
Alchemy N' Ale,57.55437217,42.44562783,52.64925056,47.35074944," skilletseared scallops with bacon on honeysriracha polenta were good, if somewhat oversweet"," when the final check came, there was no hey, sorry about your dinner, we took one of your cocktails off the check sort of gesture.",,4
Alco Parking - West General Robinson Street Garage,54.77373402,45.22626598,54.74067922,45.25932078, this garage is my goto when I am visiting the North Shore to have dinner or to PNC Park, parking is usually $5.00 Sometimes it is hard to get into the other parking lots in the area, this garage is a great place to park when going to stage AE for a show.,2.5
Alco Parking,44.76004464,55.23995536,53.60720009,46.39279991,  this is the worst parking company ever, I hate this company....HATE, + they spray the stairwells with something that smells like bleach to clean things,4.5
Alcoma On the Green,52.97263037,47.02736963,54.75552604,45.24447396, 80% of the pet owners in the building don't take any pride in the building, management posts nastiest and snarkiest signs all over the building to be a responsible pet owner if anything is broken in your apartment or needs to be checked due to complaints don't count on it happening any time soon.,,2
